"id","segment_uid","free_flow_travel_time_seconds","true_driving_distance_meters","collected_at_utc","updated_at"
138248,"PUZHAL_CENTRAL_011",49.000,245.000,"2026-07-31 06:45:03.827599+00","2026-07-31 06:45:03.827804+00"
138247,"PUZHAL_CENTRAL_014",28.000,206.000,"2026-07-31 06:45:03.827262+00","2026-07-31 06:45:03.827426+00"
138246,"PUZHAL_CENTRAL_027",82.000,524.000,"2026-07-31 06:45:03.821425+00","2026-07-31 06:45:03.8216+00"
138245,"CENTRAL_PUZHAL_010",128.000,1378.000,"2026-07-31 06:45:03.727561+00","2026-07-31 06:45:03.815075+00"
138244,"CENTRAL_PUZHAL_019",59.000,685.000,"2026-07-31 06:45:03.813533+00","2026-07-31 06:45:03.813695+00"
138243,"CENTRAL_PUZHAL_023",141.000,1325.000,"2026-07-31 06:45:03.812645+00","2026-07-31 06:45:03.812814+00"
138242,"TAMBARAM_GUINDY_028",32.000,251.000,"2026-07-31 06:45:03.727427+00","2026-07-31 06:45:03.812025+00"
138241,"TAMBARAM_GUINDY_031",98.000,1020.000,"2026-07-31 06:45:03.727249+00","2026-07-31 06:45:03.812008+00"
138240,"CENTRAL_PUZHAL_003",24.000,102.000,"2026-07-31 06:45:03.727132+00","2026-07-31 06:45:03.811674+00"
138239,"TAMBARAM_GUINDY_038",139.000,1170.000,"2026-07-31 06:45:03.727015+00","2026-07-31 06:45:03.811212+00"
